x,y,p,phi_on_grid
0.0277778,0.422222,1.67365,1.67369
0.0277778,0.427778,1.66591,1.66596
0.0277778,0.433333,1.65811,1.65816
0.0277778,0.438889,1.65026,1.65031
0.0277778,0.444444,1.64235,1.64241
0.0277778,0.45,1.6344,1.63446
0.0277778,0.455556,1.6264,1.62646
0.0277778,0.461111,1.61835,1.61842
0.0277778,0.466667,1.61026,1.61033
0.0277778,0.472222,1.60213,1.6022
0.0277778,0.477778,1.59396,1.59402
0.0277778,0.483333,1.58574,1.58581
0.0277778,0.488889,1.57749,1.57756
0.0277778,0.494444,1.5692,1.56927
0.0333333,0,1.99778,1.99778
0.0333333,0.00555556,1.99772,1.99772
0.0333333,0.0111111,1.99754,1.99753
0.0333333,0.0166667,1.99724,1.99722
0.0333333,0.0222222,1.99681,1.99679
0.0333333,0.0277778,1.99626,1.99624
0.0333333,0.0333333,1.99559,1.99556
0.0333333,0.0388889,1.99479,1.99476
0.0333333,0.0444444,1.99386,1.99383
0.0333333,0.05,1.99282,1.99279
0.0333333,0.0555556,1.99167,1.99162
0.0333333,0.0611111,1.99038,1.99032
0.0333333,0.0666667,1.98896,1.98891
0.0333333,0.0722222,1.98743,1.98737
0.0333333,0.0777778,1.98578,1.98572
0.0333333,0.0833333,1.984,1.98394
0.0333333,0.0888889,1.9821,1.98204
0.0333333,0.0944444,1.98009,1.98002
0.0333333,0.1,1.97795,1.97788
0.0333333,0.105556,1.97569,1.97562
0.0333333,0.111111,1.97332,1.97324
0.0333333,0.116667,1.97082,1.97074
0.0333333,0.122222,1.9682,1.96813
0.0333333,0.127778,1.96546,1.96539
0.0333333,0.133333,1.96262,1.96254
0.0333333,0.138889,1.95965,1.95957
0.0333333,0.144444,1.95656,1.95649
0.0333333,0.15,1.95336,1.95329
0.0333333,0.155556,1.95004,1.94997
0.0333333,0.161111,1.9466,1.94654
0.0333333,0.166667,1.94306,1.943
0.0333333,0.172222,1.93941,1.93934
0.0333333,0.177778,1.93564,1.93557
0.0333333,0.183333,1.93176,1.93169
0.0333333,0.188889,1.92776,1.92769
0.0333333,0.194444,1.92364,1.92359
0.0333333,0.2,1.91943,1.91938
0.0333333,0.205556,1.9151,1.91506
0.0333333,0.211111,1.91067,1.91063
0.0333333,0.216667,1.90614,1.90609
0.0333333,0.222222,1.9015,1.90145
0.0333333,0.227778,1.89676,1.89671
