(h + 2*t)*(x+13)^16;(2*h + 10*t)*(x+13)^15;(8*h + 8*t)*(x+13)^14;(5*h + 11*t)*(x+13)^13;(5*h + 14*t)*(x+13)^12;(7*h + 8*t)*(x+13)^11;(10*h + 14*t)*(x+13)^10;(16*h + 10*t)*(x+13)^9;6*h*(x+13)^8;(4*h + 16*t)*(x+13)^7;(2*h + 7*t)*(x+13)^6;(6*h + 14*t)*(x+13)^5;(2*h + 5*t)*(x+13)^4;(11*h + 2*t)*(x+13)^3;(4*h + 12*t)*(x+13)^2;(9*h + 6*t)*(x+13);(15*h + 13*t)
(h + 3*t)*(x+13)^16;(5*h + 6*t)*(x+13)^15;(4*h + 7*t)*(x+13)^14;(14*h + 15*t)*(x+13)^13;(7*h + 15*t)*(x+13)^12;(4*h + 4*t)*(x+13)^11;(7*h + 13*t)*(x+13)^10;(5*h + 14*t)*(x+13)^9;t*(x+13)^8;(8*h + 12*t)*(x+13)^7;(12*h + 6*t)*(x+13)^6;(7*h + t)*(x+13)^5;(11*h + 6*t)*(x+13)^4;(h + 16*t)*(x+13)^3;(h + 5*t)*(x+13)^2;(16*h + t)*(x+13);(8*h + 8*t)
(h + 4*t)*(x+13)^16;(8*h + 2*t)*(x+13)^15;6*t*(x+13)^14;(6*h + 2*t)*(x+13)^13;(9*h + 16*t)*(x+13)^12;h*(x+13)^11;(4*h + 12*t)*(x+13)^10;(11*h + t)*(x+13)^9;(11*h + 2*t)*(x+13)^8;(12*h + 8*t)*(x+13)^7;(5*h + 5*t)*(x+13)^6;(8*h + 5*t)*(x+13)^5;(3*h + 7*t)*(x+13)^4;(8*h + 13*t)*(x+13)^3;(15*h + 15*t)*(x+13)^2;(6*h + 13*t)*(x+13);(h + 3*t)
(h + 5*t)*(x+13)^16;(11*h + 15*t)*(x+13)^15;(13*h + 5*t)*(x+13)^14;(15*h + 6*t)*(x+13)^13;11*h*(x+13)^12;(15*h + 13*t)*(x+13)^11;(h + 11*t)*(x+13)^10;5*t*(x+13)^9;(5*h + 3*t)*(x+13)^8;(16*h + 4*t)*(x+13)^7;(15*h + 4*t)*(x+13)^6;(9*h + 9*t)*(x+13)^5;(12*h + 8*t)*(x+13)^4;(15*h + 10*t)*(x+13)^3;(12*h + 8*t)*(x+13)^2;(13*h + 8*t)*(x+13);(11*h + 15*t)
(h + 6*t)*(x+13)^16;(14*h + 11*t)*(x+13)^15;(9*h + 4*t)*(x+13)^14;(7*h + 10*t)*(x+13)^13;(13*h + t)*(x+13)^12;(12*h + 9*t)*(x+13)^11;(15*h + 10*t)*(x+13)^10;(6*h + 9*t)*(x+13)^9;(16*h + 4*t)*(x+13)^8;3*h*(x+13)^7;(8*h + 3*t)*(x+13)^6;(10*h + 13*t)*(x+13)^5;(4*h + 9*t)*(x+13)^4;(5*h + 7*t)*(x+13)^3;(9*h + t)*(x+13)^2;(3*h + 3*t)*(x+13);(4*h + 10*t)
(h + 7*t)*(x+13)^16;7*t*(x+13)^15;(5*h + 3*t)*(x+13)^14;(16*h + 14*t)*(x+13)^13;(15*h + 2*t)*(x+13)^12;(9*h + 5*t)*(x+13)^11;(12*h + 9*t)*(x+13)^10;(12*h + 13*t)*(x+13)^9;(10*h + 5*t)*(x+13)^8;(7*h + 13*t)*(x+13)^7;(h + 2*t)*(x+13)^6;11*h*(x+13)^5;(13*h + 10*t)*(x+13)^4;(12*h + 4*t)*(x+13)^3;(6*h + 11*t)*(x+13)^2;(10*h + 15*t)*(x+13);(14*h + 5*t)
(h + 8*t)*(x+13)^16;(3*h + 3*t)*(x+13)^15;(h + 2*t)*(x+13)^14;(8*h + t)*(x+13)^13;3*t*(x+13)^12;(6*h + t)*(x+13)^11;(9*h + 8*t)*(x+13)^10;h*(x+13)^9;(4*h + 6*t)*(x+13)^8;(11*h + 9*t)*(x+13)^7;(11*h + t)*(x+13)^6;(12*h + 4*t)*(x+13)^5;(5*h + 11*t)*(x+13)^4;(2*h + t)*(x+13)^3;(3*h + 4*t)*(x+13)^2;10*t*(x+13);7*h
(h + 9*t)*(x+13)^16;(6*h + 16*t)*(x+13)^15;(14*h + t)*(x+13)^14;5*t*(x+13)^13;(2*h + 4*t)*(x+13)^12;(3*h + 14*t)*(x+13)^11;(6*h + 7*t)*(x+13)^10;(7*h + 4*t)*(x+13)^9;(15*h + 7*t)*(x+13)^8;(15*h + 5*t)*(x+13)^7;4*h*(x+13)^6;(13*h + 8*t)*(x+13)^5;(14*h + 12*t)*(x+13)^4;(9*h + 15*t)*(x+13)^3;14*t*(x+13)^2;(7*h + 5*t)*(x+13);12*t
(h + 10*t)*(x+13)^16;(9*h + 12*t)*(x+13)^15;10*h*(x+13)^14;(9*h + 9*t)*(x+13)^13;(4*h + 5*t)*(x+13)^12;10*t*(x+13)^11;(3*h + 6*t)*(x+13)^10;(13*h + 8*t)*(x+13)^9;(9*h + 8*t)*(x+13)^8;(2*h + t)*(x+13)^7;(14*h + 16*t)*(x+13)^6;(14*h + 12*t)*(x+13)^5;(6*h + 13*t)*(x+13)^4;(16*h + 12*t)*(x+13)^3;(14*h + 7*t)*(x+13)^2;14*h*(x+13);(10*h + 7*t)
(h + 11*t)*(x+13)^16;(12*h + 8*t)*(x+13)^15;(6*h + 16*t)*(x+13)^14;(h + 13*t)*(x+13)^13;(6*h + 6*t)*(x+13)^12;(14*h + 6*t)*(x+13)^11;5*t*(x+13)^10;(2*h + 12*t)*(x+13)^9;(3*h + 9*t)*(x+13)^8;(6*h + 14*t)*(x+13)^7;(7*h + 15*t)*(x+13)^6;(15*h + 16*t)*(x+13)^5;(15*h + 14*t)*(x+13)^4;(6*h + 9*t)*(x+13)^3;11*h*(x+13)^2;(4*h + 12*t)*(x+13);(3*h + 2*t)
(h + 12*t)*(x+13)^16;(15*h + 4*t)*(x+13)^15;(2*h + 15*t)*(x+13)^14;10*h*(x+13)^13;(8*h + 7*t)*(x+13)^12;(11*h + 2*t)*(x+13)^11;(14*h + 4*t)*(x+13)^10;(8*h + 16*t)*(x+13)^9;(14*h + 10*t)*(x+13)^8;(10*h + 10*t)*(x+13)^7;14*t*(x+13)^6;(16*h + 3*t)*(x+13)^5;(7*h + 15*t)*(x+13)^4;(13*h + 6*t)*(x+13)^3;(8*h + 10*t)*(x+13)^2;(11*h + 7*t)*(x+13);(13*h + 14*t)
(h + 13*t)*(x+13)^16;h*(x+13)^15;(15*h + 14*t)*(x+13)^14;(2*h + 4*t)*(x+13)^13;(10*h + 8*t)*(x+13)^12;(8*h + 15*t)*(x+13)^11;(11*h + 3*t)*(x+13)^10;(14*h + 3*t)*(x+13)^9;(8*h + 11*t)*(x+13)^8;(14*h + 6*t)*(x+13)^7;(10*h + 13*t)*(x+13)^6;7*t*(x+13)^5;(16*h + 16*t)*(x+13)^4;(3*h + 3*t)*(x+13)^3;(5*h + 3*t)*(x+13)^2;(h + 2*t)*(x+13);(6*h + 9*t)
(h + 14*t)*(x+13)^16;(4*h + 13*t)*(x+13)^15;(11*h + 13*t)*(x+13)^14;(11*h + 8*t)*(x+13)^13;(12*h + 9*t)*(x+13)^12;(5*h + 11*t)*(x+13)^11;(8*h + 2*t)*(x+13)^10;(3*h + 7*t)*(x+13)^9;(2*h + 12*t)*(x+13)^8;(h + 2*t)*(x+13)^7;(3*h + 12*t)*(x+13)^6;(h + 11*t)*(x+13)^5;8*h*(x+13)^4;10*h*(x+13)^3;(2*h + 13*t)*(x+13)^2;(8*h + 14*t)*(x+13);(16*h + 4*t)
(h + 15*t)*(x+13)^16;(7*h + 9*t)*(x+13)^15;(7*h + 12*t)*(x+13)^14;(3*h + 12*t)*(x+13)^13;(14*h + 10*t)*(x+13)^12;(2*h + 7*t)*(x+13)^11;(5*h + t)*(x+13)^10;(9*h + 11*t)*(x+13)^9;(13*h + 13*t)*(x+13)^8;(5*h + 15*t)*(x+13)^7;(13*h + 11*t)*(x+13)^6;(2*h + 15*t)*(x+13)^5;t*(x+13)^4;14*t*(x+13)^3;(16*h + 6*t)*(x+13)^2;(15*h + 9*t)*(x+13);(9*h + 16*t)
(h + 16*t)*(x+13)^16;(10*h + 5*t)*(x+13)^15;(3*h + 11*t)*(x+13)^14;(12*h + 16*t)*(x+13)^13;(16*h + 11*t)*(x+13)^12;(16*h + 3*t)*(x+13)^11;2*h*(x+13)^10;(15*h + 15*t)*(x+13)^9;(7*h + 14*t)*(x+13)^8;(9*h + 11*t)*(x+13)^7;(6*h + 10*t)*(x+13)^6;(3*h + 2*t)*(x+13)^5;(9*h + 2*t)*(x+13)^4;(7*h + 11*t)*(x+13)^3;(13*h + 16*t)*(x+13)^2;(5*h + 4*t)*(x+13);(2*h + 11*t)

h*(x+14)^16;(14*h + t)*(x+14)^15;(9*h + 12*t)*(x+14)^14;(7*h + 2*t)*(x+14)^13;(13*h + 3*t)*(x+14)^12;(12*h + 7*t)*(x+14)^11;(15*h + 15*t)*(x+14)^10;(6*h + 2*t)*(x+14)^9;(16*h + 2*t)*(x+14)^8;(3*h + 12*t)*(x+14)^7;(8*h + 13*t)*(x+14)^6;(10*h + 16*t)*(x+14)^5;(4*h + 12*t)*(x+14)^4;(6*h + 13*t)*(x+14)^3;(10*h + 3*t)*(x+14)^2;8*t*(x+14);(14*h + 4*t)
t*(x+14)^16;(3*h + 14*t)*(x+14)^15;(2*h + 9*t)*(x+14)^14;(6*h + 7*t)*(x+14)^13;(9*h + 13*t)*(x+14)^12;(4*h + 12*t)*(x+14)^11;(11*h + 15*t)*(x+14)^10;(6*h + 6*t)*(x+14)^9;(6*h + 16*t)*(x+14)^8;(2*h + 3*t)*(x+14)^7;(5*h + 8*t)*(x+14)^6;(14*h + 10*t)*(x+14)^5;(2*h + 4*t)*(x+14)^4;(5*h + 6*t)*(x+14)^3;(13*h + 10*t)*(x+14)^2;9*h*(x+14);(15*h + 14*t)
(h + t)*(x+14)^16;15*t*(x+14)^15;(11*h + 4*t)*(x+14)^14;(13*h + 9*t)*(x+14)^13;(5*h + 16*t)*(x+14)^12;(16*h + 2*t)*(x+14)^11;(9*h + 13*t)*(x+14)^10;(12*h + 8*t)*(x+14)^9;(5*h + t)*(x+14)^8;(5*h + 15*t)*(x+14)^7;(13*h + 4*t)*(x+14)^6;(7*h + 9*t)*(x+14)^5;(6*h + 16*t)*(x+14)^4;(11*h + 2*t)*(x+14)^3;(6*h + 13*t)*(x+14)^2;(9*h + 8*t)*(x+14);(12*h + t)
(h + 2*t)*(x+14)^16;(3*h + 12*t)*(x+14)^15;(13*h + 13*t)*(x+14)^14;(2*h + 16*t)*(x+14)^13;(14*h + 12*t)*(x+14)^12;(3*h + 14*t)*(x+14)^11;(3*h + 11*t)*(x+14)^10;(h + 14*t)*(x+14)^9;11*h*(x+14)^8;(7*h + t)*(x+14)^7;(h + 12*t)*(x+14)^6;(4*h + 2*t)*(x+14)^5;(8*h + 3*t)*(x+14)^4;(16*h + 8*t)*(x+14)^3;(2*h + 6*t)*(x+14)^2;(h + 8*t)*(x+14);(10*h + 15*t)
(h + 3*t)*(x+14)^16;(6*h + 9*t)*(x+14)^15;(15*h + 5*t)*(x+14)^14;(8*h + 6*t)*(x+14)^13;(6*h + 8*t)*(x+14)^12;(7*h + 9*t)*(x+14)^11;(14*h + 9*t)*(x+14)^10;(7*h + 3*t)*(x+14)^9;16*t*(x+14)^8;(9*h + 4*t)*(x+14)^7;(6*h + 3*t)*(x+14)^6;(h + 12*t)*(x+14)^5;(10*h + 7*t)*(x+14)^4;(4*h + 14*t)*(x+14)^3;(15*h + 16*t)*(x+14)^2;(10*h + 8*t)*(x+14);(8*h + 12*t)
(h + 4*t)*(x+14)^16;(9*h + 6*t)*(x+14)^15;14*t*(x+14)^14;(14*h + 13*t)*(x+14)^13;(15*h + 4*t)*(x+14)^12;(11*h + 4*t)*(x+14)^11;(8*h + 7*t)*(x+14)^10;(13*h + 9*t)*(x+14)^9;(6*h + 15*t)*(x+14)^8;(11*h + 7*t)*(x+14)^7;(11*h + 11*t)*(x+14)^6;(15*h + 5*t)*(x+14)^5;(12*h + 11*t)*(x+14)^4;(9*h + 3*t)*(x+14)^3;(11*h + 9*t)*(x+14)^2;(2*h + 8*t)*(x+14);(6*h + 9*t)
(h + 5*t)*(x+14)^16;(12*h + 3*t)*(x+14)^15;(2*h + 6*t)*(x+14)^14;(3*h + 3*t)*(x+14)^13;7*h*(x+14)^12;(15*h + 16*t)*(x+14)^11;(2*h + 5*t)*(x+14)^10;(2*h + 15*t)*(x+14)^9;(12*h + 14*t)*(x+14)^8;(13*h + 10*t)*(x+14)^7;(16*h + 2*t)*(x+14)^6;(12*h + 15*t)*(x+14)^5;(14*h + 15*t)*(x+14)^4;(14*h + 9*t)*(x+14)^3;(7*h + 2*t)*(x+14)^2;(11*h + 8*t)*(x+14);(4*h + 6*t)
(h + 6*t)*(x+14)^16;15*h*(x+14)^15;(4*h + 15*t)*(x+14)^14;(9*h + 10*t)*(x+14)^13;(16*h + 13*t)*(x+14)^12;(2*h + 11*t)*(x+14)^11;(13*h + 3*t)*(x+14)^10;(8*h + 4*t)*(x+14)^9;(h + 13*t)*(x+14)^8;(15*h + 13*t)*(x+14)^7;(4*h + 10*t)*(x+14)^6;(9*h + 8*t)*(x+14)^5;(16*h + 2*t)*(x+14)^4;(2*h + 15*t)*(x+14)^3;(3*h + 12*t)*(x+14)^2;(3*h + 8*t)*(x+14);(2*h + 3*t)
(h + 7*t)*(x+14)^16;(h + 14*t)*(x+14)^15;(6*h + 7*t)*(x+14)^14;15*h*(x+14)^13;(8*h + 9*t)*(x+14)^12;(6*h + 6*t)*(x+14)^11;(7*h + t)*(x+14)^10;(14*h + 10*t)*(x+14)^9;(7*h + 12*t)*(x+14)^8;16*t*(x+14)^7;(9*h + t)*(x+14)^6;(6*h + t)*(x+14)^5;(h + 6*t)*(x+14)^4;(7*h + 4*t)*(x+14)^3;(16*h + 5*t)*(x+14)^2;(12*h + 8*t)*(x+14);
(h + 8*t)*(x+14)^16;(4*h + 11*t)*(x+14)^15;(8*h + 16*t)*(x+14)^14;(4*h + 7*t)*(x+14)^13;5*t*(x+14)^12;(10*h + t)*(x+14)^11;(h + 16*t)*(x+14)^10;(3*h + 16*t)*(x+14)^9;(13*h + 11*t)*(x+14)^8;(2*h + 2*t)*(x+14)^7;(14*h + 9*t)*(x+14)^6;(3*h + 11*t)*(x+14)^5;(3*h + 10*t)*(x+14)^4;(12*h + 10*t)*(x+14)^3;(12*h + 15*t)*(x+14)^2;(4*h + 8*t)*(x+14);(15*h + 14*t)
(h + 9*t)*(x+14)^16;(7*h + 8*t)*(x+14)^15;(10*h + 8*t)*(x+14)^14;(10*h + 14*t)*(x+14)^13;(9*h + t)*(x+14)^12;(14*h + 13*t)*(x+14)^11;(12*h + 14*t)*(x+14)^10;(9*h + 5*t)*(x+14)^9;(2*h + 10*t)*(x+14)^8;(4*h + 5*t)*(x+14)^7;2*h*(x+14)^6;4*t*(x+14)^5;(5*h + 14*t)*(x+14)^4;16*t*(x+14)^3;(8*h + 8*t)*(x+14)^2;(13*h + 8*t)*(x+14);(13*h + 11*t)
(h + 10*t)*(x+14)^16;(10*h + 5*t)*(x+14)^15;12*h*(x+14)^14;(16*h + 4*t)*(x+14)^13;(h + 14*t)*(x+14)^12;(h + 8*t)*(x+14)^11;(6*h + 12*t)*(x+14)^10;(15*h + 11*t)*(x+14)^9;(8*h + 9*t)*(x+14)^8;(6*h + 8*t)*(x+14)^7;(7*h + 8*t)*(x+14)^6;(14*h + 14*t)*(x+14)^5;(7*h + t)*(x+14)^4;(5*h + 5*t)*(x+14)^3;(4*h + t)*(x+14)^2;(5*h + 8*t)*(x+14);(11*h + 8*t)
(h + 11*t)*(x+14)^16;(13*h + 2*t)*(x+14)^15;(14*h + 9*t)*(x+14)^14;(5*h + 11*t)*(x+14)^13;(10*h + 10*t)*(x+14)^12;(5*h + 3*t)*(x+14)^11;10*t*(x+14)^10;4*h*(x+14)^9;(14*h + 8*t)*(x+14)^8;(8*h + 11*t)*(x+14)^7;(12*h + 16*t)*(x+14)^6;(11*h + 7*t)*(x+14)^5;(9*h + 5*t)*(x+14)^4;(10*h + 11*t)*(x+14)^3;11*t*(x+14)^2;(14*h + 8*t)*(x+14);(9*h + 5*t)
(h + 12*t)*(x+14)^16;(16*h + 16*t)*(x+14)^15;(16*h + t)*(x+14)^14;(11*h + t)*(x+14)^13;(2*h + 6*t)*(x+14)^12;(9*h + 15*t)*(x+14)^11;(11*h + 8*t)*(x+14)^10;(10*h + 6*t)*(x+14)^9;(3*h + 7*t)*(x+14)^8;(10*h + 14*t)*(x+14)^7;7*t*(x+14)^6;8*h*(x+14)^5;(11*h + 9*t)*(x+14)^4;15*h*(x+14)^3;(13*h + 4*t)*(x+14)^2;(6*h + 8*t)*(x+14);(7*h + 2*t)
(h + 13*t)*(x+14)^16;(2*h + 13*t)*(x+14)^15;(h + 10*t)*(x+14)^14;8*t*(x+14)^13;(11*h + 2*t)*(x+14)^12;(13*h + 10*t)*(x+14)^11;(5*h + 6*t)*(x+14)^10;(16*h + 12*t)*(x+14)^9;(9*h + 6*t)*(x+14)^8;12*h*(x+14)^7;(5*h + 15*t)*(x+14)^6;(5*h + 10*t)*(x+14)^5;(13*h + 13*t)*(x+14)^4;(3*h + 6*t)*(x+14)^3;(9*h + 14*t)*(x+14)^2;(15*h + 8*t)*(x+14);(5*h + 16*t)
(h + 14*t)*(x+14)^16;(5*h + 10*t)*(x+14)^15;(3*h + 2*t)*(x+14)^14;(6*h + 15*t)*(x+14)^13;(3*h + 15*t)*(x+14)^12;5*t*(x+14)^11;(16*h + 4*t)*(x+14)^10;(5*h + t)*(x+14)^9;(15*h + 5*t)*(x+14)^8;(14*h + 3*t)*(x+14)^7;(10*h + 6*t)*(x+14)^6;(2*h + 3*t)*(x+14)^5;15*h*(x+14)^4;(8*h + 12*t)*(x+14)^3;(5*h + 7*t)*(x+14)^2;(7*h + 8*t)*(x+14);(3*h + 13*t)
(h + 15*t)*(x+14)^16;(8*h + 7*t)*(x+14)^15;(5*h + 11*t)*(x+14)^14;(12*h + 5*t)*(x+14)^13;(12*h + 11*t)*(x+14)^12;4*h*(x+14)^11;(10*h + 2*t)*(x+14)^10;(11*h + 7*t)*(x+14)^9;(4*h + 4*t)*(x+14)^8;(16*h + 6*t)*(x+14)^7;(15*h + 14*t)*(x+14)^6;(16*h + 13*t)*(x+14)^5;4*t*(x+14)^4;(13*h + t)*(x+14)^3;h*(x+14)^2;(16*h + 8*t)*(x+14);(h + 10*t)
(h + 16*t)*(x+14)^16;(11*h + 4*t)*(x+14)^15;(7*h + 3*t)*(x+14)^14;(h + 12*t)*(x+14)^13;(4*h + 7*t)*(x+14)^12;(8*h + 12*t)*(x+14)^11;4*h*(x+14)^10;13*t*(x+14)^9;(10*h + 3*t)*(x+14)^8;(h + 9*t)*(x+14)^7;(3*h + 5*t)*(x+14)^6;(13*h + 6*t)*(x+14)^5;(2*h + 8*t)*(x+14)^4;(h + 7*t)*(x+14)^3;(14*h + 10*t)*(x+14)^2;(8*h + 8*t)*(x+14);(16*h + 7*t)

h*(x+15)^16;(15*h + t)*(x+15)^15;(4*h + 14*t)*(x+15)^14;(9*h + 7*t)*(x+15)^13;(16*h + 2*t)*(x+15)^12;(2*h + 14*t)*(x+15)^11;(13*h + 5*t)*(x+15)^10;(8*h + 8*t)*(x+15)^9;h*(x+15)^8;(15*h + t)*(x+15)^7;(4*h + 14*t)*(x+15)^6;(9*h + 7*t)*(x+15)^5;(16*h + 2*t)*(x+15)^4;(3*h + 13*t)*(x+15)^3;h*(x+15)^2;(h + 15*t)*(x+15);(15*h + 3*t)
t*(x+15)^16;(3*h + 15*t)*(x+15)^15;(8*h + 4*t)*(x+15)^14;(4*h + 9*t)*(x+15)^13;(6*h + 16*t)*(x+15)^12;(8*h + 2*t)*(x+15)^11;(15*h + 13*t)*(x+15)^10;(7*h + 8*t)*(x+15)^9;t*(x+15)^8;(3*h + 15*t)*(x+15)^7;(8*h + 4*t)*(x+15)^6;(4*h + 9*t)*(x+15)^5;(6*h + 16*t)*(x+15)^4;(5*h + 3*t)*(x+15)^3;(4*h + t)*(x+15)^2;(5*h + t)*(x+15);(14*h + 15*t)
(h + t)*(x+15)^16;(h + 16*t)*(x+15)^15;(12*h + t)*(x+15)^14;(13*h + 16*t)*(x+15)^13;(5*h + t)*(x+15)^12;(10*h + 16*t)*(x+15)^11;(11*h + t)*(x+15)^10;(15*h + 16*t)*(x+15)^9;(h + t)*(x+15)^8;(h + 16*t)*(x+15)^7;(12*h + t)*(x+15)^6;(13*h + 16*t)*(x+15)^5;(5*h + t)*(x+15)^4;(8*h + 16*t)*(x+15)^3;(5*h + t)*(x+15)^2;(6*h + 16*t)*(x+15);(12*h + t)
(h + 2*t)*(x+15)^16;(4*h + 14*t)*(x+15)^15;(3*h + 5*t)*(x+15)^14;8*t*(x+15)^13;11*h*(x+15)^12;(h + t)*(x+15)^11;(9*h + 14*t)*(x+15)^10;(5*h + 7*t)*(x+15)^9;(h + 2*t)*(x+15)^8;(4*h + 14*t)*(x+15)^7;(3*h + 5*t)*(x+15)^6;8*t*(x+15)^5;11*h*(x+15)^4;(13*h + 2*t)*(x+15)^3;(9*h + 2*t)*(x+15)^2;11*h*(x+15);(9*h + 16*t)
(h + 3*t)*(x+15)^16;(7*h + 12*t)*(x+15)^15;(11*h + 9*t)*(x+15)^14;4*h*(x+15)^13;16*t*(x+15)^12;(9*h + 3*t)*(x+15)^11;(7*h + 10*t)*(x+15)^10;(12*h + 15*t)*(x+15)^9;(h + 3*t)*(x+15)^8;(7*h + 12*t)*(x+15)^7;(11*h + 9*t)*(x+15)^6;4*h*(x+15)^5;16*t*(x+15)^4;(h + 5*t)*(x+15)^3;(13*h + 3*t)*(x+15)^2;(16*h + t)*(x+15);(6*h + 14*t)
(h + 4*t)*(x+15)^16;(10*h + 10*t)*(x+15)^15;(2*h + 13*t)*(x+15)^14;(8*h + 9*t)*(x+15)^13;(6*h + 15*t)*(x+15)^12;5*t*(x+15)^11;(5*h + 6*t)*(x+15)^10;(2*h + 6*t)*(x+15)^9;(h + 4*t)*(x+15)^8;(10*h + 10*t)*(x+15)^7;(2*h + 13*t)*(x+15)^6;(8*h + 9*t)*(x+15)^5;(6*h + 15*t)*(x+15)^4;(6*h + 8*t)*(x+15)^3;4*t*(x+15)^2;(4*h + 2*t)*(x+15);(3*h + 12*t)
(h + 5*t)*(x+15)^16;(13*h + 8*t)*(x+15)^15;10*h*(x+15)^14;(12*h + t)*(x+15)^13;(12*h + 14*t)*(x+15)^12;(8*h + 7*t)*(x+15)^11;(3*h + 2*t)*(x+15)^10;(9*h + 14*t)*(x+15)^9;(h + 5*t)*(x+15)^8;(13*h + 8*t)*(x+15)^7;10*h*(x+15)^6;(12*h + t)*(x+15)^5;(12*h + 14*t)*(x+15)^4;(11*h + 11*t)*(x+15)^3;(4*h + 5*t)*(x+15)^2;(9*h + 3*t)*(x+15);10*t
(h + 6*t)*(x+15)^16;(16*h + 6*t)*(x+15)^15;(h + 4*t)*(x+15)^14;(16*h + 10*t)*(x+15)^13;(h + 13*t)*(x+15)^12;(16*h + 9*t)*(x+15)^11;(h + 15*t)*(x+15)^10;(16*h + 5*t)*(x+15)^9;(h + 6*t)*(x+15)^8;(16*h + 6*t)*(x+15)^7;(h + 4*t)*(x+15)^6;(16*h + 10*t)*(x+15)^5;(h + 13*t)*(x+15)^4;(16*h + 14*t)*(x+15)^3;(8*h + 6*t)*(x+15)^2;(14*h + 4*t)*(x+15);(14*h + 8*t)
(h + 7*t)*(x+15)^16;(2*h + 4*t)*(x+15)^15;(9*h + 8*t)*(x+15)^14;(3*h + 2*t)*(x+15)^13;(7*h + 12*t)*(x+15)^12;(7*h + 11*t)*(x+15)^11;(16*h + 11*t)*(x+15)^10;(6*h + 13*t)*(x+15)^9;(h + 7*t)*(x+15)^8;(2*h + 4*t)*(x+15)^7;(9*h + 8*t)*(x+15)^6;(3*h + 2*t)*(x+15)^5;(7*h + 12*t)*(x+15)^4;4*h*(x+15)^3;(12*h + 7*t)*(x+15)^2;(2*h + 5*t)*(x+15);(11*h + 6*t)
(h + 8*t)*(x+15)^16;(5*h + 2*t)*(x+15)^15;12*t*(x+15)^14;(7*h + 11*t)*(x+15)^13;(13*h + 11*t)*(x+15)^12;(15*h + 13*t)*(x+15)^11;(14*h + 7*t)*(x+15)^10;(13*h + 4*t)*(x+15)^9;(h + 8*t)*(x+15)^8;(5*h + 2*t)*(x+15)^7;12*t*(x+15)^6;(7*h + 11*t)*(x+15)^5;(13*h + 11*t)*(x+15)^4;(9*h + 3*t)*(x+15)^3;(16*h + 8*t)*(x+15)^2;(7*h + 6*t)*(x+15);(8*h + 4*t)
(h + 9*t)*(x+15)^16;8*h*(x+15)^15;(8*h + 16*t)*(x+15)^14;(11*h + 3*t)*(x+15)^13;(2*h + 10*t)*(x+15)^12;(6*h + 15*t)*(x+15)^11;(12*h + 3*t)*(x+15)^10;(3*h + 12*t)*(x+15)^9;(h + 9*t)*(x+15)^8;8*h*(x+15)^7;(8*h + 16*t)*(x+15)^6;(11*h + 3*t)*(x+15)^5;(2*h + 10*t)*(x+15)^4;(14*h + 6*t)*(x+15)^3;(3*h + 9*t)*(x+15)^2;(12*h + 7*t)*(x+15);(5*h + 2*t)
(h + 10*t)*(x+15)^16;(11*h + 15*t)*(x+15)^15;(16*h + 3*t)*(x+15)^14;(15*h + 12*t)*(x+15)^13;(8*h + 9*t)*(x+15)^12;14*h*(x+15)^11;(10*h + 16*t)*(x+15)^10;(10*h + 3*t)*(x+15)^9;(h + 10*t)*(x+15)^8;(11*h + 15*t)*(x+15)^7;(16*h + 3*t)*(x+15)^6;(15*h + 12*t)*(x+15)^5;(8*h + 9*t)*(x+15)^4;(2*h + 9*t)*(x+15)^3;(7*h + 10*t)*(x+15)^2;8*t*(x+15);2*h
(h + 11*t)*(x+15)^16;(14*h + 13*t)*(x+15)^15;(7*h + 7*t)*(x+15)^14;(2*h + 4*t)*(x+15)^13;(14*h + 8*t)*(x+15)^12;(5*h + 2*t)*(x+15)^11;(8*h + 12*t)*(x+15)^10;11*t*(x+15)^9;(h + 11*t)*(x+15)^8;(14*h + 13*t)*(x+15)^7;(7*h + 7*t)*(x+15)^6;(2*h + 4*t)*(x+15)^5;(14*h + 8*t)*(x+15)^4;(7*h + 12*t)*(x+15)^3;(11*h + 11*t)*(x+15)^2;(5*h + 9*t)*(x+15);(16*h + 15*t)
(h + 12*t)*(x+15)^16;11*t*(x+15)^15;(15*h + 11*t)*(x+15)^14;(6*h + 13*t)*(x+15)^13;(3*h + 7*t)*(x+15)^12;(13*h + 4*t)*(x+15)^11;(6*h + 8*t)*(x+15)^10;(7*h + 2*t)*(x+15)^9;(h + 12*t)*(x+15)^8;11*t*(x+15)^7;(15*h + 11*t)*(x+15)^6;(6*h + 13*t)*(x+15)^5;(3*h + 7*t)*(x+15)^4;(12*h + 15*t)*(x+15)^3;(15*h + 12*t)*(x+15)^2;(10*h + 10*t)*(x+15);(13*h + 13*t)
(h + 13*t)*(x+15)^16;(3*h + 9*t)*(x+15)^15;(6*h + 15*t)*(x+15)^14;(10*h + 5*t)*(x+15)^13;(9*h + 6*t)*(x+15)^12;(4*h + 6*t)*(x+15)^11;(4*h + 4*t)*(x+15)^10;(14*h + 10*t)*(x+15)^9;(h + 13*t)*(x+15)^8;(3*h + 9*t)*(x+15)^7;(6*h + 15*t)*(x+15)^6;(10*h + 5*t)*(x+15)^5;(9*h + 6*t)*(x+15)^4;t*(x+15)^3;(2*h + 13*t)*(x+15)^2;(15*h + 11*t)*(x+15);(10*h + 11*t)
